elapsed	rss_kb	fds	cpu_s	log_bytes
24801	528688	8	3909.65	39391232
24861	528688	8	3920.20	39391232
24921	528688	8	3930.35	39391232
24981	528704	8	3940.72	39391232
25041	528704	8	3951.34	40439808
25101	528768	8	3961.90	40439808
25161	528768	8	3972.09	40439808
25221	528800	8	3982.15	40439808
25281	528832	8	3992.38	40439808
25341	528848	8	4002.53	40439808
25401	528848	8	4012.41	40439808
25461	528848	8	4022.72	40439808
25521	528864	8	4032.76	40439808
25581	528864	8	4042.84	40439808
25641	528864	8	4052.95	40439808
25701	528864	8	4062.93	41488384
25761	528864	8	4072.91	41488384
25821	528864	8	4083.08	41488384
25881	528864	8	4093.16	41488384
25941	528864	8	4103.37	41488384
26002	528864	8	4113.44	41488384
26062	528864	8	4123.47	41488384
26122	528864	8	4133.49	41488384
26182	528864	8	4143.62	41488384
26242	528864	8	4153.78	41488384
26302	528864	8	4163.85	41488384
26362	528864	8	4173.92	42536960
26422	528864	8	4183.86	42536960
26482	528864	8	4193.96	42536960
26542	528864	8	4203.94	42536960
26602	528864	8	4213.98	42536960
26662	528864	8	4224.55	42536960
26722	528864	8	4235.17	42536960
26782	528896	8	4245.40	42536960
26842	528912	8	4255.59	42536960
26902	528912	8	4265.62	42536960
26962	528912	8	4276.33	42536960
27022	528912	8	4286.59	43585536
27082	528912	8	4296.70	43585536
27142	528912	8	4306.78	43585536
27203	528864	8	4316.76	43585536
27263	528864	8	4326.82	43585536
27323	528864	8	4336.82	43585536
27383	528864	8	4346.94	43585536
27443	528864	8	4356.96	43585536
27503	528640	8	4366.86	43585536
27563	528960	8	4376.95	43585536
27623	529040	8	4387.20	43585536
27683	529120	8	4397.39	44634112
27743	529536	8	4408.00	44634112
27803	529552	8	4418.21	44634112
27863	529552	8	4428.46	44634112
27923	529552	8	4438.78	44634112
27983	529552	8	4449.01	44634112
28043	529552	8	4459.29	44634112
28103	529552	8	4469.29	44634112
28163	529456	8	4479.34	44634112
28223	529472	8	4489.67	44634112
28283	529936	8	4500.10	44634112
28343	530368	8	4510.26	45682688
28403	526272	8	4520.25	45682688
28463	517920	8	4530.40	45682688
28523	519152	8	4540.52	45682688
28583	520544	8	4550.98	45682688
28644	522432	8	4561.41	45682688
28704	529120	8	4571.66	45682688
28764	530592	8	4581.86	45682688
28824	531152	8	4592.34	45682688
28884	531696	8	4602.43	45682688
28944	532144	8	4612.60	46731264
29004	533728	8	4622.60	46731264
29064	533824	8	4632.63	46731264
29124	533824	8	4642.84	46731264
29184	533824	8	4653.29	46731264
29244	533824	8	4663.82	46731264
29304	533760	8	4674.15	46731264
29364	533760	8	4684.35	46731264
29424	533760	8	4694.88	46731264
29484	533760	8	4705.12	46731264
29544	533760	8	4715.53	46731264
29604	533808	8	4725.96	47779840
29664	533808	8	4736.28	47779840
29724	533808	8	4746.93	47779840
29784	533808	8	4757.21	47779840
29844	533808	8	4767.42	47779840
29904	533808	8	4777.61	47779840
29965	533808	8	4787.82	47779840
30025	533808	8	4798.29	47779840
30085	533808	8	4808.44	47779840
30145	533824	8	4818.69	47779840
30205	533872	8	4828.80	47779840
30265	533888	8	4839.09	48828416
30325	533920	8	4849.34	48828416
30385	533920	8	4859.83	48828416
30445	533936	8	4870.32	48828416
30505	533712	8	4880.43	48828416
30565	533728	8	4890.98	48828416
30625	533744	8	4901.37	48828416
30685	533712	8	4911.57	48828416
30745	533728	8	4921.98	48828416
30805	532032	8	4932.20	48828416
30865	532032	8	4942.34	48828416
30925	532032	8	4952.45	49876992
30985	532032	8	4962.57	49876992
31045	532032	8	4972.60	49876992
31105	532032	8	4982.55	49876992
31165	532032	8	4992.53	49876992
31225	532032	8	5002.73	49876992
31286	532032	8	5012.85	49876992
31346	532032	8	5022.93	49876992
31406	532032	8	5032.98	49876992
31466	532032	8	5043.19	49876992
31526	532032	8	5053.31	49876992
31586	532032	8	5063.49	50925568
31646	532032	8	5073.69	50925568
31706	532080	8	5083.71	50925568
31766	532176	8	5093.92	50925568
31826	532176	8	5103.98	50925568
31886	532176	8	5114.37	50925568
31946	532176	8	5124.38	50925568
32006	532176	8	5134.68	50925568
32066	532176	8	5145.02	50925568
32127	532176	8	5155.50	50925568
32187	532176	8	5166.06	51974144
32247	532176	8	5176.30	51974144
32307	531264	8	5186.29	51974144
32367	531792	8	5196.40	51974144
32427	531808	8	5206.61	51974144
32487	531808	8	5216.84	51974144
32547	531792	8	5226.91	51974144
32607	531792	8	5237.06	51974144
32667	531792	8	5247.22	51974144
32727	531792	8	5257.41	51974144
